LEARecordID,ORI,BatchID,TX_Type,Is_NFIA,SDate,STime,SDur,Is_ServCall,AT,Loc,City,PID,Ethn,Gend,GendNC,LGBT,Age,Is_LimEng,Disb,Is_Stud,StReas,Tr_ID,Act_CD,BasSearch,BasSearch_N,BasSeiz,PropType,Cb,ResCD
39806,CA0431100,,I,N,1/3/2022,4:43,5,N,"Patrol, traffic, field operations",200 Block South Rengstorff Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,20,N,,,Traffic Violation,Moving,No Action Taken,,,,,,
39870,CA0431100,,I,N,1/3/2022,5:34,15,Y,"Patrol, traffic, field operations",Shoreline/Wright,Mountain View,1,Black/African American,Female,,N,20,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,
39874,CA0431100,,I,N,1/3/2022,6:00,20,Y,"Patrol, traffic, field operations",900 Block Jackson Street,Mountain View,1,Hispanic/Latino(a),Male,,N,20,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,
39887,CA0431100,,I,N,1/3/2022,6:45,5,N,"Patrol, traffic, field operations",South Shoreline Boulevard & El Camino Real,Mountain View,1,Hispanic/Latino(a),Female,,N,20,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
39949,CA0431100,,I,N,1/3/2022,8:24,5,N,"Patrol, traffic, field operations",Ortega Avenue & El Camino Real,Mountain View,1,Black/African American,Male,,N,40,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Warning (verbal or written)
40009,CA0431100,,I,N,1/3/2022,10:09,5,N,"Patrol, traffic, field operations",El Camino Real,Mountain View,1,Hispanic/Latino(a),Male,,N,35,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
40020,CA0431100,,I,N,1/3/2022,10:42,5,N,"Patrol, traffic, field operations",North Shoreline Boulevard & Stierlin Court,Mountain View,1,Black/African American,Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
40021,CA0431100,,I,N,1/3/2022,10:44,10,N,"Patrol, traffic, field operations",Villa/Oak,Mountain View,1,Hispanic/Latino(a),Female,,N,25,N,Blind or limited vision,,Traffic Violation,Equipment,Field sobriety test conducted,,,,,,Warning (verbal or written)
40023,CA0431100,,I,N,1/3/2022,10:41,5,N,"Patrol, traffic, field operations",900 Block Linda Vista Avenue,Mountain View,1,Black/African American,Male,,N,35,N,,,Traffic Violation,Moving,No Action Taken,,,,,,
40124,CA0431100,,I,N,1/3/2022,13:55,5,N,"Patrol, traffic, field operations",1000 Block Villa Street,Mountain View,1,Asian,Male,,N,50,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
40394,CA0431100,,I,N,1/3/2022,22:45,10,N,"Patrol, traffic, field operations",el camino real/ escuela,Mountain View,1,White,Female,,N,25,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Citation for infraction
40439,CA0431100,,I,N,1/3/2022,22:15,10,N,"Patrol, traffic, field operations",Escuela Ave x Villa St,Mountain View,1,Asian,Male,,N,45,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
40573,CA0431100,,I,N,1/4/2022,1:06,5,N,"Patrol, traffic, field operations",700 Block Villa Street,Mountain View,1,White,Male,,N,40,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
40651,CA0431100,,I,N,1/4/2022,3:20,10,N,"Patrol, traffic, field operations",villa st/hope st,Mountain View,1,Middle Eastern or South Asian,Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
40666,CA0431100,,I,N,1/4/2022,2:40,50,Y,"Patrol, traffic, field operations",Castro Street,Mountain View,1,Asian,Male,,N,50,N,,,Reasonable suspicion that the person was engaged in criminal activity,,"Handcuffed or flex cuffed, Search of person was conducted ,Search of property was conducted,Property was seized, Asked for consent to  search person, Asked for consent to  search property","Consent given,Incident to arrest,Officer Safety/safety of others",Pat searched conducted for weapons. Consent search of backpack to look at the stolen laptop.  Search incident to arrest conducted. ,Evidence,Suspected Stolen property,Suspected Stolen property,Custodial arrest without warrant
40831,CA0431100,,I,N,1/4/2022,9:23,10,Y,"Patrol, traffic, field operations",700 Block Mercy Street,Mountain View,1,Asian,Female,,N,31,N,,,Consensual Encounter resulting in a search,," Search of person was conducted ,Search of property was conducted",Officer Safety/safety of others,Search of person and property for safety related to entering secure facility. ,,,,Psychiatric hold  (Welfare & Institutions Code sections 5150 and/or 5585.20)
40850,CA0431100,,I,N,1/4/2022,10:00,6,N,"Patrol, traffic, field operations",2300 Block West El Camino Real,Mountain View,1,Hispanic/Latino(a),Female,,N,40,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,Warning (verbal or written)
40866,CA0431100,,I,N,1/4/2022,10:39,9,N,"Patrol, traffic, field operations",100 Block East El Camino Real,Mountain View,1,Pacific Islander,Male,,N,30,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,
40980,CA0431100,,I,N,1/4/2022,13:45,5,N,"Patrol, traffic, field operations",800 Block California Street,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Citation for infraction
41010,CA0431100,,I,N,1/4/2022,15:53,10,N,"Patrol, traffic, field operations",500 Block South Rengstorff Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,30,Y,,,Traffic Violation,Equipment,No Action Taken,,,,,,Citation for infraction
41080,CA0431100,,I,N,1/4/2022,17:25,20,N,"Patrol, traffic, field operations",300 Block Escuela Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,35,Y,,,Knowledge of outstanding arrest warrant/wanted person,,No Action Taken,,,,,,Field interview card completed
41207,CA0431100,,I,N,1/4/2022,20:52,3,N,"Patrol, traffic, field operations",700 Block East El Camino Real,Mountain View,1,Black/African American,Male,,N,55,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,Warning (verbal or written)
41244,CA0431100,,I,N,1/3/2022,20:28,7,N,"Patrol, traffic, field operations",500 block N. Shoreline Blvd,Mountain View,1,Asian,Male,,N,60,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
41253,CA0431100,,I,N,1/4/2022,20:03,13,Y,"Patrol, traffic, field operations",600 block Sierra Vista Avenue,Mountain View,1,White,Female,,N,50,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,"Warning (verbal or written),Field interview card completed"
41298,CA0431100,,I,N,12/31/2021,23:15,130,N,"Patrol, traffic, field operations",South Bernardo Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Moving,Field sobriety test conducted,,,,,Alcohol,Custodial arrest without warrant
41449,CA0431100,,I,N,1/5/2022,1:00,20,Y,"Patrol, traffic, field operations",500 Block Showers Drive,Mountain View,1,Black/African American,Male,,N,30,N,,,Known to be on Parole / Probation / PRCS / Mandatory Supervision,," Asked for consent to  search person, Search of person was conducted , Asked for consent to  search property,Search of property was conducted","Consent given,Condition of parole / probation/ PRCS / mandatory supervision",searched for weapons by consent. searched wallet for ID by consent,,,,
41467,CA0431100,,I,N,1/5/2022,1:34,10,N,"Patrol, traffic, field operations",800 block san Lucas ,Mountain View,1,White,Male,,N,45,N,,,Traffic Violation,Moving,No Action Taken,,,,,,
41475,CA0431100,,I,N,1/5/2022,1:45,5,N,"Patrol, traffic, field operations",CALIFORNIA/ESCUELA,Mountain View,1,White,Female,,N,30,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Warning (verbal or written)
41645,CA0431100,,I,N,1/5/2022,6:36,3,N,"Patrol, traffic, field operations",100 oak court,Mountain View,1,Hispanic/Latino(a),Male,,N,35,N,,,Knowledge of outstanding arrest warrant/wanted person,,No Action Taken,,,,,,
41713,CA0431100,,I,N,1/5/2022,8:09,3,N,"Patrol, traffic, field operations",600 Block Ellis Street,Mountain View,1,Hispanic/Latino(a),Female,,N,35,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,Warning (verbal or written)
41754,CA0431100,,I,N,1/5/2022,5:56,30,Y,"Patrol, traffic, field operations",South Shoreline Boulevard & West Dana Street,Mountain View,1,Asian,Male,,N,40,N,,,Reasonable suspicion that the person was engaged in criminal activity,,"Handcuffed or flex cuffed,Patrol car detention",,,,,Other Contraband or evidence,Custodial arrest without warrant
41824,CA0431100,,I,N,1/5/2022,11:37,5,N,"Patrol, traffic, field operations",Highway 101,Mountain View,1,Hispanic/Latino(a),Male,,N,50,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,Warning (verbal or written)
41948,CA0431100,,I,N,1/5/2022,15:18,5,N,"Patrol, traffic, field operations",leghorn st / san antonio rd,Mountain View,1,Asian,Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
42158,CA0431100,,I,N,1/5/2022,18:05,5,N,"Patrol, traffic, field operations",California 237,Mountain View,1,White,Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
42253,CA0431100,,I,N,1/5/2022,20:52,9,N,"Patrol, traffic, field operations",1400 block N. Shoreline Boulevard,Mountain View,1,Asian,Male,,N,28,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
42299,CA0431100,,I,N,1/5/2022,21:42,3,N,"Patrol, traffic, field operations",California 237,Mountain View,1,Hispanic/Latino(a),Male,,N,60,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
42757,CA0431100,,I,N,1/6/2022,6:51,5,Y,"Patrol, traffic, field operations",1800 Block Villa Street,Mountain View,1,Black/African American,Male,,N,25,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,
42821,CA0431100,,I,N,1/6/2022,8:28,6,N,"Patrol, traffic, field operations",Highway 85,Mountain View,1,Hispanic/Latino(a),Male,,N,40,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,Warning (verbal or written)
42836,CA0431100,,I,N,1/6/2022,7:46,10,Y,"Patrol, traffic, field operations",800 Block Park Drive,Mountain View,1,Black/African American,Male,,N,45,N,,,Reasonable suspicion that the person was engaged in criminal activity,,"Canine removed from vehicle or used to search, Search of person was conducted ,Curbside detention",Incident to arrest,Search incident to arrest. No contraband located.,,,,Custodial arrest without warrant
42977,CA0431100,,I,N,1/6/2022,8:33,90,Y,"Patrol, traffic, field operations",Devoto Street,Mountain View,1,White,Male,,N,30,N,,,Reasonable suspicion that the person was engaged in criminal activity,,Handcuffed or flex cuffed,,,,,"Cell phone(s) or electronic device(s),Other Contraband or evidence",Custodial arrest without warrant
43095,CA0431100,,I,N,1/6/2022,14:18,20,Y,"Patrol, traffic, field operations",Foxborough Drive,Mountain View,1,White,Male,,N,30,N,,,Reasonable suspicion that the person was engaged in criminal activity,,Handcuffed or flex cuffed,,,,,,
43640,CA0431100,,I,N,1/6/2022,0:10,5,Y,"Patrol, traffic, field operations",Rengstorff Avenue & California Street,Mountain View,1,Black/African American,Male,,N,25,N,,,Reasonable suspicion that the person was engaged in criminal activity,,Curbside detention,,,,,,Warning (verbal or written)
43731,CA0431100,,I,N,1/7/2022,3:49,60,Y,"Patrol, traffic, field operations",Wyandotte Street,Mountain View,1,White,Male,,N,40,N,,,Reasonable suspicion that the person was engaged in criminal activity,,Curbside detention,,,,,,Custodial arrest without warrant
43915,CA0431100,,I,N,1/7/2022,7:25,20,Y,"Patrol, traffic, field operations",Grant Road & El Camino Real,Mountain View,1,Hispanic/Latino(a),Male,,N,25,N,,,Traffic Violation,Equipment,Person removed from vehicle by order,,,,,,
43915,CA0431100,,I,N,1/7/2022,7:25,20,Y,"Patrol, traffic, field operations",Grant Road & El Camino Real,Mountain View,2,Black/African American,Female,,N,30,N,,,Traffic Violation,Equipment,Person removed from vehicle by order,,,,,,
43954,CA0431100,,I,N,1/7/2022,7:55,15,Y,"Patrol, traffic, field operations",1800 Block California Street,Mountain View,1,Asian,Male,,N,20,N,,,Consensual Encounter resulting in a search,,"Other Physical or Vehicle contact,Handcuffed or flex cuffed, Asked for consent to  search person, Search of person was conducted ",Officer Safety/safety of others,"Visual, subject was getting dressed",,,Cell phone(s) or electronic device(s),"Psychiatric hold  (Welfare & Institutions Code sections 5150 and/or 5585.20),Noncriminal transport or caretaking transport  (including transport by officer, ambulance, or another agency)"
44014,CA0431100,,I,N,1/7/2022,11:30,15,N,"Patrol, traffic, field operations",400 Block West El Camino Real,Mountain View,1,Hispanic/Latino(a),Male,,N,25,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,Warning (verbal or written)
44104,CA0431100,,I,N,1/7/2022,13:29,30,Y,"Patrol, traffic, field operations","Oak St, Villa St",Mountain View,1,White,Male,,N,50,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,
44144,CA0431100,,I,N,1/7/2022,13:30,30,Y,"Patrol, traffic, field operations",1200 Block Crittenden Lane,MOUNTAIN VIEW,1,White,Male,,N,50,N,,,Reasonable suspicion that the person was engaged in criminal activity,,"Curbside detention, Search of person was conducted ,Search of property was conducted",Incident to arrest,Subject was arrested and him and his property was searched.,,,,"In-field cite and release,Custodial arrest without warrant"
44162,CA0431100,,I,N,1/7/2022,16:43,10,N,"Patrol, traffic, field operations",Villa Street & Bryant Street,Mountain View,1,Hispanic/Latino(a),Female,,N,40,Y,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
44406,CA0431100,,I,N,1/7/2022,19:13,10,N,"Patrol, traffic, field operations",Cuesta Drive & Miramonte Avenue,Mountain View,1,Asian,Female,,N,35,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
44832,CA0431100,,I,N,1/8/2022,7:36,5,Y,"Patrol, traffic, field operations",Rengstorff/Leghorn,Mountain View,1,Asian,Female,,N,50,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,
44835,CA0431100,,I,N,1/8/2022,1:05,20,Y,"Patrol, traffic, field operations",1400 Block Wildrose Way,Mountain View,1,White,Male,,N,40,N,,,Reasonable suspicion that the person was engaged in criminal activity,,Curbside detention,,,,,,Field interview card completed
44838,CA0431100,,I,N,1/8/2022,7:39,5,Y,"Patrol, traffic, field operations",Charleston/Independence,Mountain View,1,White,Female,,N,45,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,,
45129,CA0431100,,I,N,1/8/2022,16:38,10,N,"Patrol, traffic, field operations",California Street & Franklin Street,Mountain View,1,"Asian,Hispanic/Latino(a)",Female,,N,60,Y,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
45515,CA0431100,,I,N,1/9/2022,3:30,10,N,"Patrol, traffic, field operations",200 Block Castro Street,Mountain View,1,Asian,Male,,N,40,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
45532,CA0431100,,I,N,1/9/2022,3:20,15,N,"Patrol, traffic, field operations",OLD MIDDLEFIELD RD/RENGSTORFF AVE,Mountain View,1,Asian,Female,,N,40,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Citation for infraction
45557,CA0431100,,I,N,1/9/2022,4:08,10,N,"Patrol, traffic, field operations",California Street & Ortega Avenue,Mountain View,1,Hispanic/Latino(a),Male,,N,30,Y,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Warning (verbal or written)
45557,CA0431100,,I,N,1/9/2022,4:08,10,N,"Patrol, traffic, field operations",California Street & Ortega Avenue,Mountain View,2,Hispanic/Latino(a),Female,,N,30,Y,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Warning (verbal or written)
45557,CA0431100,,I,N,1/9/2022,4:08,10,N,"Patrol, traffic, field operations",California Street & Ortega Avenue,Mountain View,3,Hispanic/Latino(a),Female,,N,1,Y,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Warning (verbal or written)
45601,CA0431100,,I,N,1/9/2022,4:37,5,N,"Patrol, traffic, field operations",Villa Street,Mountain View,1,Hispanic/Latino(a),Male,,N,25,Y,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
45692,CA0431100,,I,N,1/9/2022,6:45,20,Y,"Patrol, traffic, field operations",800 Block High School Way,Mountain View,1,White,Male,,N,50,N,,,Investigation to determine whether the person was truant,,No Action Taken,,,,,,Psychiatric hold  (Welfare & Institutions Code sections 5150 and/or 5585.20)
45854,CA0431100,,I,N,1/9/2022,9:22,60,Y,"Patrol, traffic, field operations",West El Camino Real & North San Antonio Road,Mountain View,1,Hispanic/Latino(a),Male,,N,35,N,,,Investigation to determine whether the person was truant,,Vehicle impounded,,,,,,Field interview card completed
45854,CA0431100,,I,N,1/9/2022,9:22,60,Y,"Patrol, traffic, field operations",West El Camino Real & North San Antonio Road,Mountain View,2,Hispanic/Latino(a),Male,,N,45,N,,,Investigation to determine whether the person was truant,,Vehicle impounded,,,,,,Field interview card completed
45938,CA0431100,,I,N,1/9/2022,10:36,120,N,"Patrol, traffic, field operations",100 Block Hope Street,Mountain View,1,White,Female,,N,21,N,,,Reasonable suspicion that the person was engaged in criminal activity,,"Person removed from vehicle by order,Field sobriety test conducted,Vehicle impounded,Handcuffed or flex cuffed,Patrol car detention",,,,,,
46168,CA0431100,,I,N,1/9/2022,22:06,10,N,"Patrol, traffic, field operations",Castro Street & Church Street,Mountain View,1,Asian,Male,,N,25,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
46414,CA0431100,,I,N,1/10/2022,4:12,5,N,"Patrol, traffic, field operations",100 Block East El Camino Real,Mountain View,1,White,Male,,N,37,N,,,Investigation to determine whether the person was truant,,No Action Taken,,,,,,Warning (verbal or written)
46414,CA0431100,,I,N,1/10/2022,4:12,5,N,"Patrol, traffic, field operations",100 Block East El Camino Real,Mountain View,2,Hispanic/Latino(a),Female,,N,65,N,,,Investigation to determine whether the person was truant,,No Action Taken,,,,,,Warning (verbal or written)
46434,CA0431100,,I,N,1/10/2022,4:44,10,N,"Patrol, traffic, field operations",Shoreline/Central,Mountain View,1,White,Male,,N,20,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
46500,CA0431100,,I,N,1/10/2022,5:59,15,N,"Patrol, traffic, field operations",Mathilda Avenue,Sunnyvale,1,Black/African American,Male,,N,38,N,,,Traffic Violation,Non-moving,Person removed from vehicle by order,,,,,,Warning (verbal or written)
46500,CA0431100,,I,N,1/10/2022,5:59,15,N,"Patrol, traffic, field operations",Mathilda Avenue,Sunnyvale,2,Black/African American,Male,,N,25,N,,,Traffic Violation,Non-moving,Person removed from vehicle by order,,,,,,Warning (verbal or written)
46514,CA0431100,,I,N,1/10/2022,6:50,5,N,"Patrol, traffic, field operations",El Camino / shoreline,Mountain View,1,Middle Eastern or South Asian,Male,,N,30,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,
46537,CA0431100,,I,N,1/10/2022,7:24,5,N,"Patrol, traffic, field operations",North Shoreline Boulevard & West Middlefield Road,Mountain View,1,Middle Eastern or South Asian,Male,,N,55,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
46537,CA0431100,,I,N,1/10/2022,7:24,5,N,"Patrol, traffic, field operations",North Shoreline Boulevard & West Middlefield Road,Mountain View,2,Asian,Male,,N,40,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
46631,CA0431100,,I,N,1/10/2022,10:09,5,N,"Patrol, traffic, field operations",shoreline/montecito,Mountain View,1,Hispanic/Latino(a),Female,,N,25,N,,,Traffic Violation,Equipment,Field sobriety test conducted,,,,,,Warning (verbal or written)
46641,CA0431100,,I,N,1/10/2022,9:45,45,N,"Patrol, traffic, field operations",West Dana Street & Oak Street,Mountain View,1,Asian,Male,,N,35,N,,,Traffic Violation,Non-moving,Person removed from vehicle by order,,,,,Weapon(s) other than a firearm,Citation for infraction
46677,CA0431100,,I,N,1/10/2022,10:05,20,N,"Patrol, traffic, field operations",Shoreline/California,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Moving,"Field sobriety test conducted,Person removed from vehicle by order",,,,,,"Custodial arrest without warrant,Custodial arrest pursuant to outstanding warrant"
46721,CA0431100,,I,N,1/10/2022,7:50,20,Y,"Patrol, traffic, field operations",1200 Block Awalt Drive,Mountain View,1,Hispanic/Latino(a),Male,,N,50,N,,,Reasonable suspicion that the person was engaged in criminal activity,,Handcuffed or flex cuffed,,,,,,Custodial arrest without warrant
46724,CA0431100,,I,N,1/10/2022,11:00,30,N,"Patrol, traffic, field operations",Dana/Oak,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Moving,"Person removed from vehicle by order,Field sobriety test conducted,Handcuffed or flex cuffed,Patrol car detention, Asked for consent to  search person, Search of person was conducted ","Consent given,Search Warrant,Incident to arrest,Condition of parole / probation/ PRCS / mandatory supervision",search of person as he was coming out of the vehicle. Later blood draw search warrant.,,,Alcohol,Custodial arrest without warrant
46724,CA0431100,,I,N,1/10/2022,11:00,30,N,"Patrol, traffic, field operations",Dana/Oak,Mountain View,2,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,,
47330,CA0431100,,I,N,1/11/2022,5:31,15,Y,"Patrol, traffic, field operations",100 Block Moffett Boulevard,Mountain View,1,Black/African American,Male,,N,30,N,,,Reasonable suspicion that the person was engaged in criminal activity,," Asked for consent to  search person, Search of person was conducted ",Condition of parole / probation/ PRCS / mandatory supervision,,,,,Warning (verbal or written)
47561,CA0431100,,I,N,1/10/2022,14:08,20,Y,"Patrol, traffic, field operations",100 Block Moffett Boulevard,Mountain View,1,Hispanic/Latino(a),Male,,N,20,N,,,Reasonable suspicion that the person was engaged in criminal activity,,No Action Taken,,,,,Alcohol,
47671,CA0431100,,I,N,1/11/2022,21:00,10,N,"Patrol, traffic, field operations",Highway 101/ university ,East Palo Alto,1,Hispanic/Latino(a),Female,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
47674,CA0431100,,I,N,1/11/2022,16:00,15,N,"Patrol, traffic, field operations",el camino real / jordan ave,Los Altos,1,Asian,Female,,N,30,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
47679,CA0431100,,I,N,1/11/2022,16:24,5,N,"Patrol, traffic, field operations",500 Block South Shoreline Boulevard,Mountain View,1,White,Female,,N,40,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
47741,CA0431100,,I,N,1/11/2022,17:31,5,N,"Patrol, traffic, field operations",1900 Block West El Camino Real,Mountain View,1,Hispanic/Latino(a),Male,,N,50,Y,,,Traffic Violation,Equipment,No Action Taken,,,,,,Warning (verbal or written)
47902,CA0431100,,I,N,1/11/2022,20:42,5,N,"Patrol, traffic, field operations",2000 Block West El Camino Real,Mountain View,1,White,Female,,N,40,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
47945,CA0431100,,I,N,1/11/2022,21:45,5,N,"Patrol, traffic, field operations",Rengstorff Avenue & Stanford Avenue,Mountain View,1,Middle Eastern or South Asian,Male,,N,25,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Warning (verbal or written)
47950,CA0431100,,I,N,1/11/2022,21:52,10,N,"Patrol, traffic, field operations",shoreline blvd/california st,Mountain View,1,White,Male,,N,80,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Citation for infraction
47979,CA0431100,,I,N,1/11/2022,22:41,5,N,"Patrol, traffic, field operations",900 Block Villa Street,Mountain View,1,White,Female,,N,70,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,
47989,CA0431100,,I,N,1/11/2022,16:40,5,N,"Patrol, traffic, field operations",1000 Block West Evelyn Avenue,Mountain View,1,Middle Eastern or South Asian,Male,,N,25,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
48003,CA0431100,,I,N,1/11/2022,22:50,7,N,"Patrol, traffic, field operations",409 block North Shoreline Boulevard,Mountain View,1,Hispanic/Latino(a),Male,,N,45,N,,,Traffic Violation,Non-moving,No Action Taken,,,,,,Warning (verbal or written)
48169,CA0431100,,I,N,1/12/2022,2:04,5,N,"Patrol, traffic, field operations",1000 Block Villa Street,Mountain View,1,Hispanic/Latino(a),Female,,N,25,N,,,Traffic Violation,Moving,No Action Taken,,,,,,
48185,CA0431100,,I,N,1/12/2022,2:20,10,N,"Patrol, traffic, field operations",shoreline blvd/wright ave,Mountain View,1,Hispanic/Latino(a),Male,,N,30,N,,,Traffic Violation,Equipment,No Action Taken,,,,,,Citation for infraction
48221,CA0431100,,I,N,1/12/2022,3:50,10,N,"Patrol, traffic, field operations",franklin st/ villa st,Mountain View,1,Middle Eastern or South Asian,Male,,N,22,N,,,Traffic Violation,Moving,No Action Taken,,,,,,Citation for infraction
48221,CA0431100,,I,N,1/12/2022,3:50,10,N,"Patrol, traffic, field operations",franklin st/ villa st,Mountain View,2,White,Female,,N,22,N,,,Traffic Violation,Moving,No Action Taken,,,,,,
