stopID,entryUpdateTime,stopTime,stopDuration,stopInResponseToCFS,street,intersection,PID,perceivedRace,perceivedDisability,perceivedLimitedEnglish,perceivedAge,perceivedGender,perceivedLgbt,genderNonconforming,contrabandOrEvidenceDiscovered,actionTakens,personSearchGiven,propertySearchGiven,basisForSearch,basisForSearchExplanation,reasonForStop,reasonForStopDetail,reasonForStopExplanation,resultOfStop
3130,1/12/2022 14:06,1/12/2022 13:58,5,FALSE,Foothill Expressway ,Springer ,1, Pacific Islander, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Reg expired 10/2021, Warning (verbal or written)
3131,1/12/2022 14:37,1/12/2022 14:34,5,FALSE,springer ave,paco dr,1, Hispanic/Latino/a, None,TRUE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, illegal right hand turn at stop sign, Warning (verbal or written)
3132,1/12/2022 19:05,1/12/2022 19:03,2,FALSE,Escuela ave,El Camino real,1, Asian, None,FALSE,25,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired Reg, Warning (verbal or written)
3133,1/13/2022 15:59,1/13/2022 15:51,30,TRUE,homestead rd,,1, White, Mental health condition,FALSE,35,Male,No,FALSE, None, Curbside detention; Handcuffed or flex cuffed; Patrol car detention; Search of person was conducted,,, Incident to arrest, suspect had multiple outstanding warrants, Reasonable Suspicion, Matched suspect description," subject acting hostile and aggressive towards store staff, possible trespassing", Custodial Arrest pursuant to outstanding warrant; In-field cite and release; In-field cite and release
3134,1/13/2022 16:52,1/13/2022 16:48,10,FALSE,grant rd,covington rd,1, White, Mental health condition,FALSE,35,Male,No,FALSE, None, None,,,, , Reasonable Suspicion, Matched suspect description, urinated in public, Warning (verbal or written)
3135,1/16/2022 18:56,1/16/2022 18:04,5,FALSE,SPRINGER RD,FOOTHILL EXPRESSWAY,1, Middle Eastern or South Asian, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, DRIVER WARNED AND RELEASED, Warning (verbal or written)
3136,1/16/2022 20:34,1/16/2022 20:32,5,FALSE,Foothill,280,1, Hispanic/Latino/a, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Fail to stop at limit line, Warning (verbal or written)
3137,1/18/2022 9:53,1/18/2022 8:52,10,FALSE,Almond Ave,Gordon Ave,1, Hispanic/Latino/a, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation," Observed vehicle at high rate of speed east on Almond Ave. visual at 40 mph. Radar confirmed 42 in posted 25mph zone. Driver stopped, identified by CA license, cited and released.", Citation for infraction
3138,1/18/2022 10:13,1/18/2022 6:29,5,FALSE,foothill expy,loyola dr,1, White, None,FALSE,55,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, no plates on vehicle, Warning (verbal or written)
3139,1/18/2022 12:57,1/18/2022 12:55,5,FALSE,Almond ,El Monte ,1, Asian, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Slowed to appx 10-15mph.  Did not stop at or before limit line, Warning (verbal or written)
3140,1/18/2022 18:21,1/18/2022 16:20,60,TRUE,Foothill Expressway ,Magdalena ,1, Hispanic/Latino/a, Speech impairment or limited use of language,TRUE,20,Male,No,FALSE, Alcohol; Drug Paraphernalia, Asked for consent to search person; Curbside detention; Handcuffed or flex cuffed; Property was seized; Search of person was conducted; Search of property was conducted, true,, Consent given; Evidence of crime; Visible contraband, Drug paraphernalia and empty alcohol bottles visible inside the vehicle.; Drug paraphernalia and empty alcohol bottles visible inside the vehicle.; Drug paraphernalia and empty alcohol bottles visible inside the vehicle., Consensual Encounter resulting in a search, , Contacted pushing a car on the side of foothill Expressway.  4 other males subjects foot bailed from the vehicle prior.  Alcohol containers and drug paraphernalia located in vehicle.  Methamphetamine pipe locate on the subject, In-field cite and release
3141,1/19/2022 8:09,1/19/2022 7:55,5,FALSE,Foothill,Loyola ,1, Asian, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Speeding 60 in a 45, Warning (verbal or written)
3142,1/19/2022 21:59,1/19/2022 19:30,3,FALSE,VINEYARD,FOOTHILL EXPRESSWAY,1, Asian, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, DRIVER WARNED AND RELEASED, Warning (verbal or written)
3143,1/20/2022 1:59,1/20/2022 1:58,3,FALSE,EL CAMINO REAL,MIRAMONTE,1, White, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", DRIVER WARNED AND RELEASED, Warning (verbal or written)
3144,1/20/2022 2:16,1/20/2022 2:13,10,FALSE,california,Ortega Ave,1, Hispanic/Latino/a, None,FALSE,18,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Speeding, Warning (verbal or written)
3145,1/20/2022 5:51,1/19/2022 21:40,10,FALSE,El Camino ,Rich,1, Hispanic/Latino/a, None,FALSE,18,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, maintain lighting requirements, Warning (verbal or written)
3146,1/20/2022 19:09,1/20/2022 19:07,3,FALSE,Springer,Covington,1, Asian, None,FALSE,55,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Drive without lights at darkness, Warning (verbal or written)
3147,1/21/2022 0:22,1/21/2022 0:00,10,FALSE,el camino,clark ave,1, Hispanic/Latino/a, None,FALSE,19,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, front left head lamp broken, Citation for infraction
3148,1/21/2022 13:35,1/21/2022 13:24,5,TRUE,Palm ave,Lee ave,1, Hispanic/Latino/a, None,FALSE,25,Male,No,FALSE, None, None,,,, , Reasonable Suspicion, Other Reasonable Suspicion of a crime, Leaf blower not 602, No Action
3149,1/21/2022 14:14,1/21/2022 14:07,5,FALSE,Main ,Foothill Expressway ,1, White, None,FALSE,70,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Made an illegal u turn on Main Street, Warning (verbal or written)
3150,1/21/2022 14:38,1/21/2022 14:31,6,FALSE,Foothill expressway,Loyola drive,1, Asian, None,TRUE,70,Female,No,FALSE, None, None,,,, , Reasonable Suspicion, Officer witnessed commission of a crime, Brake lights not operating properly, No Action
3151,1/22/2022 13:44,1/22/2022 13:15,5,FALSE,El Camino Real ,San Antonio ,1, Middle Eastern or South Asian, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired Registration, Citation for infraction
3152,1/22/2022 13:55,1/22/2022 6:31,10,FALSE,el camino real,el monte ave,1, Asian, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, ran red light of intersection, Citation for infraction
3153,1/22/2022 15:13,1/22/2022 14:55,20,FALSE,Foothill expressway ,El Monte ,1, Hispanic/Latino/a, None,TRUE,45,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Displaying false tabs, Warning (verbal or written)
3154,1/22/2022 15:15,1/22/2022 15:11,5,FALSE,cuesta dr,grant rd,1, Asian, None,FALSE,55,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 45 in a 25, Warning (verbal or written)
3155,1/22/2022 15:39,1/22/2022 15:32,5,FALSE,El MONTE,HUMMINGBIRD COURT,1, White, None,FALSE,60,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, NO REFLECTIVE ON LICENSE PLATE, Warning (verbal or written)
3156,1/23/2022 11:43,1/23/2022 6:35,5,FALSE,el camino real,rickeys ln,1, White, None,FALSE,60,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, cell phone in hand while driving, Warning (verbal or written)
3157,1/23/2022 14:34,1/23/2022 14:32,5,FALSE,san antonio rd,fayette dr,1, Hispanic/Latino/a, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", expired paper plates displayed, Warning (verbal or written)
3158,1/23/2022 14:47,1/23/2022 14:33,10,FALSE,Foothill Expressway,El Monte,1, White, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", expired registration since July 2021., Citation for infraction
3159,1/23/2022 17:10,1/23/2022 17:09,5,FALSE,Holly,Mckenzie,1, White, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", expired reg 2020 tag visible, Warning (verbal or written)
3160,1/23/2022 17:40,1/23/2022 17:11,5,FALSE,foothill,main,1, Asian, None,FALSE,17,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, unsafe speed, Warning (verbal or written)
3161,1/24/2022 0:32,1/24/2022 0:30,1,FALSE,miramonte ave,el camino real,1, Middle Eastern or South Asian, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, right tail light out, Warning (verbal or written)
3162,1/24/2022 19:29,1/24/2022 19:26,5,FALSE,Fremont,,1, Asian, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Unsafe turn from turn l;ane, Warning (verbal or written)
3163,1/26/2022 9:33,1/26/2022 9:30,10,FALSE,Alma ct,San Antonio rd,1, Hispanic/Latino/a, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 50mph in 35mph zine, Citation for infraction
3164,1/26/2022 9:36,1/26/2022 9:33,10,FALSE,fremont ave,altos oaks dr,1, Middle Eastern or South Asian, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", exp reg 10/21, Citation for infraction
3165,1/26/2022 17:03,1/26/2022 17:01,5,FALSE,covington road,campbell ave,1, White, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, tail lamp out, Warning (verbal or written)
3166,1/26/2022 17:42,1/26/2022 17:20,15,TRUE,first street,,1, White, Mental health condition; Other disability,FALSE,50,Male,No,FALSE, None, Asked for consent to search person; Asked for consent to search property; Curbside detention; Handcuffed or flex cuffed; Search of person was conducted; Search of property was conducted, true, true, Consent given; Officer Safety/safety of others, pat search for weapons and additional clothing for weapons.; pat search for weapons and additional clothing for weapons., Reasonable Suspicion, Matched suspect description, call for drunk in public, Warning (verbal or written)
3167,1/27/2022 8:33,1/27/2022 8:29,8,FALSE,Truman ave ,Oak,1, Asian, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Pass in bike lane, No Action
3168,1/27/2022 9:19,1/27/2022 9:00,12,FALSE,San Antonio Rd,E. Portala Ave,1, Asian, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver north on San Antonio Rd at visual 50. Lidar confirmed.  50 in posted 45 mph zone. Driver identified and cited., Citation for infraction
3169,1/27/2022 9:43,1/27/2022 9:25,10,FALSE,San Antonio Rd,E. Portals Ave,1, White, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver north on San Antonio rd at 50 visual. Speed confirmed by Lidar at 52 mph. Driver identified and cited., Citation for infraction
3170,1/27/2022 10:12,1/27/2022 10:08,15,FALSE,San antonio,Alverado,1, Hispanic/Latino/a, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 52 in 35mph zone and unlicensed, Citation for infraction
3171,1/27/2022 23:21,1/27/2022 23:20,10,FALSE,el camino real,sherwood,1, White, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, no rear plate, Warning (verbal or written)
3172,1/27/2022 23:34,1/27/2022 23:33,5,FALSE,el camino real,jordan,1, Hispanic/Latino/a, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", expired reg, Warning (verbal or written)
3173,1/28/2022 9:00,1/28/2022 8:58,8,FALSE,Los Altos ave,Surrey ,1, Asian, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 43 in 25mph zone, No Action
3174,1/28/2022 13:53,1/28/2022 8:37,10,FALSE,Truman Ave,Elmhurst,1, Asian, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver turn in front of bicyclist from Truman onto Elmhurst. Driver identified and warned, Warning (verbal or written)
3175,1/30/2022 9:16,1/30/2022 9:14,5,FALSE,san antonio,angela,1, White, None,FALSE,55,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, uturn prohibited, Warning (verbal or written)
3176,1/30/2022 21:05,1/30/2022 18:05,15,TRUE,Grant road,Cuesta drive,1, Black/African American, None,FALSE,50,Male,No,FALSE, None, Curbside detention,,,, , Reasonable Suspicion, Witness or Victim identification of Suspect at the scene, Suspect, Citation for infraction; In-field cite and release
3177,1/31/2022 17:37,1/31/2022 17:31,90,FALSE,brassinga,,1, White, None,FALSE,40,Male,No,FALSE, Cell phone(s) or electronic device(s); Drug Paraphernalia; Drugs/narcotics; Other Contraband or evidence; Suspected Stolen property; Weapon(s) other than a firearm, Asked for consent to search person; Curbside detention; Handcuffed or flex cuffed; Patrol car detention; Property was seized; Search of person was conducted; Search of property was conducted, true,, Consent given; Evidence of crime; Incident to arrest; Officer Safety/safety of others," search incident to arrest, consent given, wearing stolen prop; search incident to arrest, consent given, wearing stolen prop; search incident to arrest, consent given, wearing stolen prop; search incident to arrest, consent given, wearing stolen prop", Reasonable Suspicion; Reasonable Suspicion; Reasonable Suspicion; Reasonable Suspicion, Officer witnessed commission of a crime; Matched suspect description; Carrying Suspicious Object; Actions indicative of casing a victim or location, suspicious person at scene fled then located; suspicious person at scene fled then located; suspicious person at scene fled then located; suspicious person at scene fled then located, Custodial Arrest without warrant; Custodial Arrest without warrant; Custodial Arrest without warrant; Custodial Arrest without warrant
3178,2/1/2022 20:58,2/1/2022 20:50,5,FALSE,El Camino,Distel Dr,1, Black/African American, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, exp reg, Warning (verbal or written)
3179,2/2/2022 12:58,2/2/2022 10:52,10,FALSE,Almond Ave,Sunkist,1, White, None,FALSE,16,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver hit raised crosswalk on Almond Ave at high rate of speed and immediately hit brakes and skid. Stopped and identified. Warned and released, Warning (verbal or written)
3180,2/2/2022 19:39,2/2/2022 19:38,3,FALSE,El Monte,Almond,1, White, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, DRIVE WITHOUT LIGHTS AT NIGHT, Warning (verbal or written)
3181,2/3/2022 8:35,2/3/2022 8:33,8,FALSE,Berry ave,Alvina ct,1, Middle Eastern or South Asian, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Pass on shoulder, Citation for infraction
3182,2/3/2022 9:49,2/3/2022 9:48,8,FALSE,San Antonio rd,Alma ,1, White, None,FALSE,17,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 51 in 35 zone, Citation for infraction
3183,2/3/2022 11:24,2/3/2022 8:30,10,FALSE,Berry Ave,Alvina Ct,1, Asian, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Of . Butler observed driver pass on shoulder around turning vehicles at Loyola Elementary. Butler notified me. I made the stop. Driver identified and cited., Citation for infraction
3184,2/3/2022 11:32,2/3/2022 9:40,10,FALSE,San Antonio Rd,Alvarado,1, White, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation," Observed driver at visual speed 50 @ 400”. Lidar confirmed 52mph @ 416’ on north San Antonio Rd. Driver stopped, cited and released", Citation for infraction
3185,2/4/2022 14:36,2/4/2022 6:36,10,FALSE,springer ave,berry ave,1, White, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", exp reg 2/21, Citation for infraction
3186,2/4/2022 23:34,2/4/2022 23:31,3,FALSE,McKenzie ave,,1, White, None,FALSE,15,Male,No,FALSE, None, None,,,, , Reasonable Suspicion, Suspected of Acting as Lookout, Hiding behind vehicle in the dark, Warning (verbal or written)
3187,2/4/2022 23:39,2/4/2022 23:37,2,FALSE,El Monte ,Woodstock,1, White, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", DMV system indicated vehicle was unregistered, No Action
3188,2/5/2022 7:54,2/5/2022 7:30,11,FALSE,Foothill Expressway ,El Monte ,1, White, None,FALSE,55,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Registration expired 8/2020, Citation for infraction; Warning (verbal or written); Warning (verbal or written)
3189,2/5/2022 9:58,2/5/2022 6:28,5,FALSE,FOOTHILL EXPY,EL MONTE AVE,1, Middle Eastern or South Asian, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, RIGHT HAND TURN ON RED, Warning (verbal or written)
3190,2/5/2022 12:51,2/5/2022 12:35,6,FALSE,Foothill Expressway ,El Monte ,1, Middle Eastern or South Asian, None,FALSE,60,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Proceeded straight from a dedicated right turn only lane, Warning (verbal or written)
3191,2/5/2022 17:39,2/5/2022 17:25,8,FALSE,Truman ,Havenhurst ,1, White, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation," Front and rear dealership plate, no temp or permanent plates displayed", Warning (verbal or written)
3192,2/5/2022 20:03,2/4/2022 20:27,5,FALSE,Springer Rd,Vista Grande,1, Asian, None,TRUE,70,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Unsafe lane change, No Action
3193,2/6/2022 0:52,2/5/2022 3:11,7,FALSE,S San Antonio Rd,Cuesta,1, Hispanic/Latino/a, None,TRUE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Stop lamps one out, No Action
3194,2/6/2022 0:55,2/5/2022 22:53,3,FALSE,State Street ,First Street,1, White, None,FALSE,18,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Fail to stop at stop sign, No Action
3195,2/6/2022 6:46,2/5/2022 11:48,10,FALSE,Foothill expressway,El Monte,1, Hispanic/Latino/a, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Initially stopped vehicle for expired registration. Driver was cited for 12500a and expired registration, Citation for infraction; Citation for infraction
3196,2/6/2022 16:18,2/6/2022 16:12,30,FALSE,kensington ,fremont,1, Hispanic/Latino/a, None,FALSE,25,Male,No,FALSE, Drug Paraphernalia; Drugs/narcotics; Weapon(s) other than a firearm, Asked for consent to search person; Asked for consent to search property; Handcuffed or flex cuffed; Patrol car detention; Person removed from vehicle by physical contact; Property was seized; Search of person was conducted; Search of property was conducted, true, true, Consent given; Visible contraband," on view of a small firearm, an odor of fresh burnt marijuana, and consent given.; on view of a small firearm, an odor of fresh burnt marijuana, and consent given.", Traffic Violation," Non-moving Violation, including Registration Violation", expired reg with rip in progress, In-field cite and release; In-field cite and release
3197,2/6/2022 20:18,2/6/2022 20:06,7,FALSE,El Camino Real,Grant Road,1, Asian, None,FALSE,60,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Unsafe lane change, Citation for infraction
3198,2/6/2022 21:20,2/6/2022 21:19,5,FALSE,Springer,El monte,1, Black/African American, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired registration in process, Warning (verbal or written)
3199,2/8/2022 10:03,2/8/2022 9:40,12,FALSE,San Antonio Rd,Alvarado,1, Asian, None,FALSE,70,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver at high rate of speed 60 north on San Antonio Rd. Lidar confirmed 62. Brent confirmed 61 on radar. Driver stopped and identified. Cited and released, Citation for infraction
3200,2/8/2022 11:22,2/8/2022 11:19,5,FALSE,Portland,Miramonte,1, Middle Eastern or South Asian, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Stop sign, Warning (verbal or written)
3201,2/8/2022 11:30,2/8/2022 10:25,20,FALSE,San Antonio Rd,Alvarado ,1, White, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver at high speed 60nph northbound on San Antonio Rd. Lisa confirmed 63mph at 484’. Driver stopped. Verbally identified. Cited and released., Citation for infraction
3202,2/8/2022 11:36,2/8/2022 11:34,5,FALSE,Covington,Springer,1, Asian, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Stop sign, Citation for infraction
3203,2/8/2022 14:58,2/8/2022 14:44,12,FALSE,Almond Ave,Gordon,1, Hispanic/Latino/a, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver east on Almond. Visual 40mph. Radar confirmed 41mph. Driver identified by license. Cited and released, Citation for infraction
3204,2/8/2022 23:37,2/8/2022 20:45,65,FALSE,N SAN ANTINO RD,,1, Hispanic/Latino/a, None,TRUE,45,Male,No,FALSE, None, None,,,, , Knowledge of outstanding arrest warrant/wanted person, , CVC- 14601.5(A)/ CVC-22350, Custodial Arrest pursuant to outstanding warrant
3205,2/9/2022 8:51,2/9/2022 6:25,5,FALSE,S CLARK AVE,SPRINGER TERR,1, Asian, None,FALSE,45,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, TWO TAIL LAMPS OUT, Warning (verbal or written)
3206,2/9/2022 9:25,2/9/2022 9:23,5,FALSE,SAN ANTONIO ROAD,ALVARADO AVE,1, White, None,FALSE,80,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", REG EXP 9/21, Warning (verbal or written)
