stopID,entry/update time,stopTime,stopDuration,stopInResponseToCFS,street,intersection,PID,perceivedRace,perceivedDisability,perceivedLimitedEnglish,perceivedAge,perceivedGender,perceivedLgbt,genderNonconforming,contrabandOrEvidenceDiscovered,actionTakens,personSearchGiven,propertySearchGiven,basisForSearch,basisForSearchExplanation,reasonForStop,reasonForStopDetail,reasonForStopExplanation,reaultOfStop
123,2/11/2021 9:01,2/11/2021 8:35,12,FALSE,Los Altos Ave,,1, White, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation," Observed driver SB Los Altos Ave at visual speed of 30 mph, in school zone with kids present. Lidar confirmed 35 mph. Driver stopped. Identified by CA driver license. Issued cite and released", No Action
124,2/11/2021 9:09,2/11/2021 8:54,8,FALSE,Truman,Pinehurst,1, Middle Eastern or South Asian, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 40mph in 25mph zone, Citation for infraction
125,2/11/2021 9:23,2/11/2021 9:19,10,FALSE,Truman,Havenhurst,1, White, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 41 in 25mph zone, Citation for infraction
126,2/11/2021 10:10,2/11/2021 10:00,12,FALSE,El Camino Real,Ortega Ave,1, White, None,FALSE,75,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", Expired Registration, Citation for infraction; Citation for infraction
127,2/11/2021 10:24,2/11/2021 9:48,11,FALSE,W. Edith Ave,,1, Hispanic/Latino/a, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed driver on cell phone at listed location. Stopped and identified by CA license. Issued cite, No Action
128,2/11/2021 11:12,2/11/2021 11:00,9,FALSE,Campbell Ave,,1, Hispanic/Latino/a, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Observed vehicle in violation of weight limit and stop sign violation. Driver doing work using most direct route to stop. Educate for violations, No Action
129,2/11/2021 12:00,2/11/2021 11:45,8,FALSE,Truman,Oak,1, Asian, None,FALSE,40,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 40mph in 25mph zone, Citation for infraction
130,2/11/2021 12:12,2/11/2021 12:08,10,FALSE,Truman,Havenhurst,1, White, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 40 in 25 mph zone, No Action
131,2/11/2021 12:22,2/11/2021 12:13,10,FALSE,Truman,Pinehurst ,1, White, None,FALSE,25,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 49mph in  25mph zone, Citation for infraction
132,2/11/2021 12:28,2/11/2021 12:25,5,FALSE,el monte,s. clark,1, Black/African American, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, no plates, No Action
133,2/11/2021 12:36,2/11/2021 12:34,12,FALSE,Truman,Havenhurst,1, White, None,FALSE,35,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 40 in 25mph zone, Citation for infraction
134,2/11/2021 12:43,2/11/2021 12:31,10,FALSE,Truman,Oak,1, Asian, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 41 in 25mph zone, Citation for infraction
135,2/11/2021 13:36,2/11/2021 12:28,2,FALSE,el camino,,1, Hispanic/Latino/a, None,TRUE,40,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, exp reg, No Action
136,2/11/2021 14:23,2/11/2021 14:20,8,FALSE,1st st,,1, White, None,FALSE,75,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 74mph in a 45, Citation for infraction
137,2/11/2021 14:41,2/11/2021 13:36,5,FALSE,el monte,foothill,1, Hispanic/Latino/a, None,TRUE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, no front plate, Warning (verbal or written)
138,2/11/2021 14:52,2/11/2021 14:45,8,FALSE,University Ave ,Edith Ave,1, White, None,FALSE,20,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 64mph in a 45, Citation for infraction
139,2/11/2021 15:44,2/11/2021 14:41,10,FALSE,foothill,grant,1, Hispanic/Latino/a, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, exp reg, No Action
140,2/11/2021 16:54,2/11/2021 7:19,67,TRUE,el camino real,,1, White, Mental health condition,FALSE,45,Male,No,FALSE, Drug Paraphernalia; Drugs/narcotics, Curbside detention; Handcuffed or flex cuffed; Patrol car detention; Person photographed; Search of person was conducted,,, Incident to arrest, HE WAS SEARCHED INCIDENT TO ARREST, Reasonable Suspicion; Reasonable Suspicion, Witness or Victim identification of Suspect at the scene; Matched suspect description, WITNESS SAW HIM THROW BRICK THROUGH STORE WINDOW - WITNESS CALLED IN AND FIELD ID'D HIM AS THE SUSPECT; WITNESS SAW HIM THROW BRICK THROUGH STORE WINDOW - WITNESS CALLED IN AND FIELD ID'D HIM AS THE SUSPECT, Custodial Arrest pursuant to outstanding warrant; Custodial Arrest without warrant
141,2/11/2021 17:54,2/11/2021 12:00,70,FALSE,Foothill Expressway ,Grant Road,1, White, None,FALSE,30,Male,No,FALSE, Drug Paraphernalia, Asked for consent to search person; Asked for consent to search property; Handcuffed or flex cuffed; Patrol car detention; Person removed from vehicle by order; Search of person was conducted; Search of property was conducted; Vehicle impounded, true, true, Consent given; Incident to arrest, subject gave consent and was placed under arrest; subject gave consent and was placed under arrest, Traffic Violation," Non-moving Violation, including Registration Violation", vehicle had no license plates and a cracked windshield, Custodial Arrest pursuant to outstanding warrant
142,2/11/2021 20:15,2/11/2021 18:32,7,FALSE,Foothill,El Monte,1, Asian, None,FALSE,55,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Red light violation, Warning (verbal or written)
143,2/11/2021 20:26,2/11/2021 20:16,8,FALSE,Hawthorne,Ramon,1, White, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Fail to stop at limit line, Warning (verbal or written)
144,2/12/2021 12:36,2/12/2021 12:33,10,FALSE,El Camino Real,Miramonte Ave,1, White, None,FALSE,35,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 60 in 35, Citation for infraction
145,2/12/2021 13:17,2/12/2021 13:15,4,FALSE,San Antonio ,Allond,1, Asian, None,FALSE,25,Female,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Expired registration, No Action
146,2/12/2021 15:14,2/12/2021 15:04,10,TRUE,First St,,1, Black/African American, Mental health condition,FALSE,30,Male,No,FALSE, None, None,,,, , Reasonable Suspicion, Matched suspect description, Subj was loitering in store employees called about strange behavior with women., Field interview card completed
147,2/12/2021 17:03,2/12/2021 17:00,15,FALSE,FREMONT AVE,BRIGHT OAKS CT,1, Hispanic/Latino/a, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", FALSE REG TABS, In-field cite and release
148,2/12/2021 17:16,2/12/2021 17:15,5,FALSE,FOOTHILL EXPY,SAN ANTONIO ROAD,1, White, None,FALSE,40,Male,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation", EXPIRED REG, Citation for infraction
149,2/13/2021 8:32,2/13/2021 8:31,10,FALSE,el camino real,distel circ,1, Hispanic/Latino/a, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, brake lights not working, Citation for infraction
150,2/13/2021 16:20,2/13/2021 16:19,10,FALSE,el Camino Real,,1, Middle Eastern or South Asian, None,FALSE,30,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, brake lights out, Warning (verbal or written)
1002,2/13/2021 21:44,2/13/2021 21:41,4,FALSE,rilma,loucks,1, White, None,FALSE,24,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, speeding, Warning (verbal or written)
1003,2/13/2021 22:20,2/13/2021 19:43,5,FALSE,Almond,Higgins,1, White, None,FALSE,18,Female,No,FALSE, None, None,,,, , Reasonable Suspicion, Other Reasonable Suspicion of a crime, Parked in back space on campus after 2200, No Action
1004,2/13/2021 23:05,2/13/2021 21:20,20,FALSE,Covington rd,Miramonte Ave,1, Middle Eastern or South Asian, None,FALSE,30,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, Stop sign violation, Warning (verbal or written)
1005,2/13/2021 23:28,2/13/2021 21:44,5,FALSE,springer,,1, Hispanic/Latino/a, None,TRUE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, exp reg, Warning (verbal or written)
1006,2/14/2021 11:22,2/14/2021 11:15,1,FALSE,San Antonio ,Sevilla ,1, Asian, None,FALSE,70,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 50 in a 35, No Action
1007,2/14/2021 13:29,2/14/2021 11:54,15,FALSE,Fremont,,1, White, Mental health condition,FALSE,45,Transgender woman/girl,Yes,FALSE, None, Asked for consent to search person; Handcuffed or flex cuffed; Patrol car detention; Search of person was conducted, true,, Consent given; Officer Safety/safety of others, Search incident to detention for 5150; Search incident to detention for 5150, Reasonable Suspicion, Matched suspect description, Subj was suicidal, Psychiatric hold
1008,2/14/2021 21:42,2/14/2021 19:35,2,FALSE,el monte,edna ct,1, White, None,FALSE,50,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, speeding for over one mile, Warning (verbal or written)
1009,2/14/2021 22:43,2/14/2021 21:43,10,FALSE,el camino real,oortega,1, White, None,FALSE,25,Male,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, speeding on ecr, Warning (verbal or written)
1010,2/15/2021 1:24,2/15/2021 1:20,56,TRUE,Christina Dr,Fallen leaf,1, White, Mental health condition,FALSE,74,Female,No,FALSE, None, None,,,, , Reasonable Suspicion, Other Reasonable Suspicion of a crime, 911 call, Psychiatric hold
1011,2/15/2021 9:07,2/15/2021 9:06,10,FALSE,Yerba Santa,,1, White, None,FALSE,20,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 43mph in 25mph zone, Citation for infraction
1012,2/15/2021 9:35,2/15/2021 9:24,7,FALSE,,ROSITA DR/ CAMPBELL AV,1, Hispanic/Latino/a, None,TRUE,33,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, TINTED FRONT PASSANGER WINDOWS, No Action
1013,2/15/2021 9:48,2/15/2021 9:38,7,FALSE,Los Altos Avenue ,,1, White, None,FALSE,50,Female,No,FALSE, None, None,,,, , Traffic Violation," Non-moving Violation, including Registration Violation"," 40mph in 25mph zone; cell phone in plain sight, pink case right hand speaker phone in use", Citation for infraction
1014,2/15/2021 12:31,2/15/2021 12:20,8,FALSE,Grant Rd,Arboretum,1, Hispanic/Latino/a, None,FALSE,25,Female,No,FALSE, None, None,,,, , Traffic Violation, Moving Violation, 64mph in a 45, Citation for infraction
1015,2/15/2021 12:37,2/15/2021 12:28,3,FALSE,Fremont,Springer,1, White, None,FALSE,45,Male,No,FALSE, None, None,,,, , Traffic Violation, Equipment Violation, Expired temporary license plates, Warning (verbal or written)
